,0
"Murray, Julie ",39395
"Coldiron, Deborah ",5538
"Tieck, Sarah ",3131
"Howe, Peter ",252
" Rayyan, Omar (ILT)",252
" Paillot, Jim (ILT)",209
"Gutman, Dan ",209
"Grant, Michael ",188
"Gross, Andrew ",141
"Ayarbe, Heidi ",132
"Han, Jenny ",131
"Phunny, U. R. ",124
"Quinn, Julia ",82
"Picoult, Jodi ",66
"Eig, Jonathan ",64
"Margolin, Phillip ",63
"Clark, Mary Higgins ",55
"Perkins, Lynne Rae ",53
"Evans, Richard Paul ",30
"More, Hugh ",24
"Pike, Aprilynne ",23
"Gosda, Randy T. ",23
"Wight, Eric ",22
" Wight, Eric (ILT)",22
"Moore, Hugh ",21
"Schreiber, Ellen ",21
"Butterworth, Eric ",18
"McMann, Lisa ",16
"Abrahams, Peter ",16
"Harris, Robert ",15
"Chiaverini, Jennifer ",10
"Stewart, Leah ",10
" Post, Lizzie ",9
"Post, Anna ",9
"Bushnell, Candace ",8
"Lutz, Lisa ",8
"Sheehy, Gail ",8
"Kitanidis, Phoebe ",8
"Devillier, Christy ",8
"Lasky, Kathryn ",7
"Barry, Brunonia ",7
"Chopra, Deepak ",6
" Williamson, Marianne ",6
"Byng, Georgia ",6
" Ford, Debbie ",6
" Unell, Barbara C. ",5
"Harrison, Mette Ivie ",5
"Wyckoff, Jerry, Ph.d. ",5
"Howard, Fran ",5
"Gibson, Rachel ",4
"Callen, Gayle ",4
"Gomez, Rebecca ",4
"Gray, Shelley Shepard ",4
" Duddle, Jonny (ILT)",3
"Rove, Karl ",3
"Burke, James Lee ",3
"Newsome, Richard ",3
"Cypess, Leah ",2
"McKnight, Jenna ",1
"Moulton, Sara ",1
"Guidry, Jeff ",1
" Viguié, Debbie ",1
"Fielding, Joy ",1
"Loomis, Susan Herrmann ",1
"White, L. Michael ",1
"Florida, Richard ",1
"Guillou, Jan ",1
"Holder, Nancy ",1
"Guiliano, Mireille ",1
