,0
"Doodler, Todd H. ",8267
"Hoag, Tami ",1722
"Lee, Harper ",1470
"Macmillan, Gilly ",1458
"Slaughter, Karin ",1277
"Sedgwick, Marcus ",950
"White, Karen ",923
" Willig, Lauren ",923
" Williams, Beatriz ",923
"Cline, Ernest ",782
"Goodkind, Terry ",591
"Barnett, Mac ",587
"Woods, Stuart ",579
" Whamond, Dave (ILT)",538
"Szpirglas, Jeff ",536
" Saint-onge, Danielle ",536
"Foster, Alan Dean ",456
"Jance, Judith A. ",452
"Doller, Trish ",451
"Warman, Jessica ",444
" John, Jory ",438
" Cornell, Kevin (ILT)",438
"Dean, James ",425
"Blakemore, Megan Frazer ",420
"Oates, Joyce Carol ",402
"Marinovich, Matt ",389
"Cornwell, Bernard ",382
"Lee, Janice Y. K. ",355
"McKenzie, Elizabeth ",347
"Todd, Charles ",338
"Hadley, Tessa ",332
"Blumenthal, Brett ",332
"Schmidt, Tiffany ",326
"Schwab, V. E. ",299
"Shalvis, Jill ",293
"Ferriss, Timothy ",287
"Coleman, Reed Farrel ",260
"Smiley, Jane ",258
"Beatty, Robert ",257
" Cook, Michele ",243
"Sandford, John ",243
"Willis, Connie ",235
"Blakely, Lauren ",234
"Montgomery, Sy ",233
"Sands, Lynsay ",222
America's Test Kitchen (COR),214
" Cinelli, Amanda ",204
"Gagne, Tammy ",200
"Ferrante, Elena ",200
" Goldstein, Ann (TRN)",200
" Stevens, Peter ",198
"Meyerowitz, Seth ",198
" Paisner, Daniel ",196
"John, Daymond ",196
"Gaughen, A. C. ",195
"Gidwitz, Adam ",195
"Blitt, Natalie ",186
"Berry, Steve ",185
"DiSpirito, Rocco ",180
"Alphin, Elaine Marie ",176
"Coutts, Alexandra ",176
"Burkhart, Jessica ",170
"Lemmon, Jessica ",169
"Katzenbach, John ",167
"Chee, Traci ",165
"Mallery, Susan ",156
"Hoyt, Elizabeth ",153
" Liu, Ken (TRN)",151
"Liu, Cixin ",151
" Robinson, Christian (ILT)",149
"Konnikova, Maria ",149
"Buckley, Christopher ",142
"Egan, Kate ",141
" Wight, Eric (ILT)",141
" Lane, Mike ",141
"McGuire, Jamie ",140
"Arsenault, Emily ",139
"Robson, Jennifer ",136
"Grus, Joel ",135
"Stanley, Suzannah Hamlin ",130
"Sabin-wilson, Lisa ",130
"Crawford, Susan ",130
"Zeltser, David ",124
" Goode, Diane (ILT)",124
"Chainani, Soman ",123
"Hill, Joey W. ",122
" Maynard, Janice ",121
"Schow, Betsy ",119
"Sanderson, Brandon ",119
"Evans, Lissa ",118
"Hay, Louise ",117
" Holden, Robert ",117
"Aguirre, Ann ",116
"Childs, Tera Lynn ",114
" Deebs, Tracy ",114
"Nesser, Hakan ",113
"Adair, Marina ",113
"Harvey, Greg ",113
"Ryan, Kendall ",113
"Wilson, Kai Ashante ",113
" Thompson, Laurie (TRN)",112
