,0
"Arnold, Eric ",2621
"Gatto, Kimberly ",1936
"Choi, Yangsook ",1936
" Choi, Yangsook (ILT)",1936
" Jagucki, Marek (ILT)",1752
"O'hara, Mo ",1752
"Lockhart, E. ",1746
"Rappoport, Ken ",1745
"Mack, W. C. ",1521
"Aaseng, Nathan ",1485
"Thornley, Stew ",1381
"Graff, Lisa ",1370
"Riordan, Rick ",1349
"Woods, Bob ",1139
"Bredeson, Carmen ",971
" Bock, William Sauts (ILT)",970
"MacNow, Glen ",796
"Galbraith, Robert ",779
"Azzarelli, Ally ",726
"Russell, Rachel Renee ",723
" Russell, Rachel Renee (ILT)",723
"Roberts, Nora ",694
"Wade, Mary Dodson ",673
"Johansen, Erika ",648
"Kellerman, Faye ",648
"Holden, Henry M. ",577
"Sandford, John ",544
"Macomber, Debbie ",527
"Caron, Lucille ",507
" Jacques, Philip M. St. ",507
"Dairman, Tara ",487
"Brown, Sandra ",472
"Kavanagh, Jack ",460
"Wingard-Nelson, Rebecca ",442
"Woods, Stuart ",442
"Mull, Brandon ",406
"Sparks, Nicholas ",391
"Rosenfelt, David ",387
"Dean, James ",375
"Egan, Erin ",366
"Houle, Michelle M. ",307
"Catmull, Ed ",305
" Wallace, Amy ",305
"Sanford, William R. ",292
"Altman, Linda Jacobs ",284
"James, Julie ",276
"Douglas, Helen ",265
"Hurwitz, Michele Weber ",265
"Ford, Carin T. ",247
"Holczer, Tracy ",239
"Brody, Jessica ",219
" Plooij, Frans X. ",201
" Jutte, J. (ILT)",201
" Sonderegger, S. (TRN)",201
"Van De Rijt, Hetty ",201
" Kidder, G. (TRN)",201
"Westen, Robin ",193
"Lake, Nick ",189
"Spies, Karen Bornemann ",189
"Streissguth, Tom ",185
"Stiefvater, Maggie ",180
"Cronin, Doreen ",180
" Cornell, Kevin (ILT)",180
"Young, Jeff C. ",179
"Kendrick, Beth ",177
"Korman, Gordon ",176
" Grabenstein, Chris ",176
"Patterson, James ",176
"O'Connor, Richard ",172
"Quick, Amanda ",169
"Leyson, Leon ",166
" Harran, Marilyn J. ",166
"Cates, Bailey ",165
"Burlingame, Jeff ",160
"Scottoline, Lisa ",159
"Deem, James M. ",153
"Lebovitz, David ",146
"Goodman, Jo ",143
"Wilson, N. D. ",142
"Collier, Irene Dea ",140
"Cassidy, Anne ",136
"Womack, Philip ",132
"Clark, Bridie ",131
"Cole, Michael D. ",126
"Bradley, Alan ",125
"Matson, Morgan ",124
"Voskamp, Ann ",124
"Orr, Stephen ",124
"Graedon, Alena ",122
"Warner, Gertrude Chandler ",117
"Ludlum, Robert ",115
"Cahoon, Lynn ",114
"Mckinley, Kate ",114
"Novak, Brenda ",110
"Kingsbury, Karen ",109
"Feinstein, Stephen ",107
"Deaver, Jeffery ",107
"Musser, Rebecca ",107
"Neis, Therese ",103
"Green, Carl R. ",102
" Kelley, Gerald (ILT)",102
" Sanford, William R. ",102
"Wilner, Barry ",101
"Watson, Jude ",100
"Ali, Ayaan Hirsi ",98
"Black, Holly ",97
"Clare, Jessica ",96
" Green, Carl R. ",95
"Tolstoy, Leo ",93
" Maude, Louise Shanks (TRN)",93
"Byers, Ann ",93
" Williams, Suzanne ",91
"Holub, Joan ",91
"Dolan, Paul ",90
" Kahneman, Daniel (FRW)",90
"Balzo, Sandra ",88
"Hills, Tad ",86
"Blackstock, Terri ",78
" Wu, Donald (ILT)",77
"Boelts, Maribeth ",77
"Ives, Susanna ",77
"Shipstead, Maggie ",76
"Deem, James ",74
"Sternbergh, Adam ",73
"Mass, Wendy ",72
"Greer, Judy ",71
"Mallery, Susan ",71
"Smallman, Steve ",71
" Dunn, Robert (ILT)",71
"Aretha, David ",70
"Lace, William W. ",68
"Cooper, Isabel ",67
"Swanson, James L. ",67
"Masters, Tess ",67
"Admirand, C. H. ",66
" Watson, Don (INT)",64
"Resnick, Adam ",64
"Freeman, Brian ",64
"Orwell, George ",64
"Castle, Richard ",63
"Nielsen, Jennifer A. ",62
"Harding, Traci ",61
"Smith, April ",60
"Koontz, Dean R. ",59
"Flanagan, John ",58
"Leigh, Lora ",58
"Venkatraman, Padma ",57
"Leno, Katrina ",56
"McCullough, Colleen ",56
"Bacal, Jessica ",55
"Wiggs, Susan ",54
"Larochelle, David ",54
" Wohnoutka, Mike (ILT)",54
"Schuman, Michael A. ",54
"Krosoczka, Jarrett J. ",54
"Rufus, Anneli ",52
"Lerner, Rose ",52
"Torres, John Albert ",52
" Wilde, Lori ",51
" Alexander, Carrie ",51
" Donovan, Susan ",51
"Terry, Bryant ",49
"Carroll, Michael ",47
"Elizabeth, Anne ",47
"Jeffrey, Laura S. ",46
"Glass, Lillian ",45
"Ullmann, Linn ",45
"Alender, Katie ",45
"Hoffman, Betty N. ",44
"Simon, Coco ",44
"Kelley, K. C. ",43
"Pauley, Kimberly ",43
"Jio, Sarah ",42
"Krentz, Jayne Ann ",42
"Anderson, Jodi Lynn ",41
" O'Keefe, Michael F. ",41
"Girard, Scott L. ",41
Pope Francis ,41
" Price, Marc A. ",41
"Day, David ",39
"Pierce, Tamora ",39
"Addison, Katherine ",39
"Cardoza, Steven ",39
"Barnholdt, Lauren ",39
"Laurens, Stephanie ",36
"Adrian, Lara ",36
"Gulland, Sandra ",36
"Queen, Ellery ",36
"Gaffigan, James ",36
"Gardner, Robert ",36
"Kirby, Matt ",36
"Idleman, Kyle ",35
"Roy, Jennifer Rozines ",34
"Cloud, Henry ",34
"Robinson, Kim Stanley ",33
"Greene, Thomas Christopher ",33
"Shepherd, Joel ",33
"Blake, Maya ",33
"Zephaniah, Benjamin ",33
"de la Pena, Matt ",32
"Jaffarian, Sue Ann ",32
"Bernard, Catherine ",31
"Wyckoff, Edwin Brit ",31
"Jordan, Denise M. ",31
"Winokur, Jon ",30
"Pressfield, Steven ",30
"Kent, Deborah ",30
"Lansdale, Joe R. ",30
"Shin, Kyung-Sook ",30
"Dimon, HelenKay ",29
"Coble, Colleen ",29
"Fine, Sarah ",29
"Saval, Nikil ",29
"Humphreys, Sara ",28
"Stein, R. Conrad ",27
" McPhillips, Robert (ILT)",27
"Pike, Christopher ",27
"Harrington, K.a. ",27
"Beckman, Wendy Hart ",27
"Quinn, Jordan ",27
"Schraff, Anne E. ",27
"Webb, Stephen ",26
"Thompson, Victoria ",26
" Runkle, Toni ",26
Smithsonian Institution (COR),26
Hearst ,26
" Pastan, Amy (EDT)",26
"Gould, Francesca ",25
" Coovert, J. P. (ILT)",25
